file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,173,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,174,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,25
style.css,175,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,42
style.css,176,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,177,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,178,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,3
style.css,179,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,180,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,23
style.css,181,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,182,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,42
style.css,183,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,184,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,185,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,186,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,187,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,19
style.css,188,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,189,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,17
style.css,190,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,191,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,17
style.css,192,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,193,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,194,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,10
style.css,195,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,196,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,19
style.css,197,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,198,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,58
style.css,199,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,22
style.css,200,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,201,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,202,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,203,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,27
style.css,204,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,23
style.css,205,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,19
style.css,206,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,207,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,208,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,16
style.css,209,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,14
style.css,210,css,29817949,AdaMo22805,2025-02-06,14:24:13,-08:00,2025-02-06T14:24:13-08:00,0,19
style.css,211,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,9
style.css,212,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,21
style.css,213,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,214,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,19
style.css,215,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,8
style.css,216,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,217,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,218,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,21
style.css,219,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,220,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,17
style.css,221,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,30
style.css,222,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,18
style.css,223,css,76feba38,AdaMo22805,2025-01-31,00:33:54,-08:00,2025-01-31T00:33:54-08:00,0,0
style.css,224,css,76feba38,AdaMo22805,2025-01-31,00:33:54,-08:00,2025-01-31T00:33:54-08:00,0,0
style.css,225,css,76feba38,AdaMo22805,2025-01-31,00:33:54,-08:00,2025-01-31T00:33:54-08:00,0,0
style.css,226,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
